"Player Name","Position","Rank","NumTeamExp","Team Name","Height","Weight","Age","College","Bye","IMG","Drafted"
"Irv Smith","TE",,"4","Minnesota Vikings","6-2","240lbs","24","Alabama",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2257888.png?width=160","False"
"Mark Andrews","TE",,"5","Baltimore Ravens","6-5","256lbs","26","Oklahoma",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2131121.png?width=160","False"
"Tommy Tremble","TE",,"2","Carolina Panthers","6-4","250lbs","22","Notre Dame",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2969027.png?width=160","False"
"Hayden Hurst","TE",,"5","Cincinnati Bengals","6-4","250lbs","29","South Carolina",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2185053.png?width=160","False"
"Albert Okwuegbunam","TE",,"3","Denver Broncos","6-5","258lbs","24","Missouri",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2245117.png?width=160","False"
"George Kittle","TE",,"6","San Francisco 49ers","6-4","250lbs","28","Iowa",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2818265.png?width=160","False"
"Isaiah Likely","TE",,"","Baltimore Ravens","6-4","235lbs","22","C. Carolina",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2961906.png?width=160","False"
"Dawson Knox","TE",,"4","Buffalo Bills","6-4","254lbs","25","Ole Miss",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2186345.png?width=160","False"
"Adam Trautman","TE",,"3","New Orleans Saints","6-5","253lbs","25","Dayton",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2182228.png?width=160","False"
"Kyle Pitts","TE",,"2","Atlanta Falcons","6-6","245lbs","21","Florida",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2964514.png?width=160","False"
"Mo Aliecox","TE",,"5","Indianapolis Colts","6-5","267lbs","28","Virginia Commonwealth",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2815925.png?width=160","False"
"Daniel Bellinger","TE",,"","New York Giants","6-6","253lbs","21","San Diego St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2963615.png?width=160","False"
"Kyle Rudolph","TE",,"12","Tampa Bay Buccaneers","6-6","265lbs","32","Notre Dame",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/1633122.png?width=160","False"
"Logan Thomas","TE",,"8","Washington Commanders","6-6","250lbs","31","Virginia Tech",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/1691193.png?width=160","False"
"Cole Kmet","TE",,"3","Chicago Bears","6-6","260lbs","23","Notre Dame",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2868619.png?width=160","False"
"Noah Fant","TE",,"4","Seattle Seahawks","6-4","249lbs","24","Iowa",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2251095.png?width=160","False"
"Mike Gesicki","TE",,"5","Miami Dolphins","6-6","250lbs","26","Penn St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2139298.png?width=160","False"
"Dallas Goedert","TE",,"5","Philadelphia Eagles","6-5","256lbs","27","S. Dakota St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2132551.png?width=160","False"
"Brevin Jordan","TE",,"2","Houston Texans","6-3","245lbs","22","Miami (Fla.)",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2964787.png?width=160","False"
"Hunter Henry","TE",,"7","New England Patriots","6-5","250lbs","27","Arkansas",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2079848.png?width=160","False"
"Gerald Everett","TE",,"6","Los Angeles Chargers","6-3","240lbs","28","South Alabama",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2142692.png?width=160","False"
"Tyler Higbee","TE",,"7","Los Angeles Rams","6-6","255lbs","29","W. Kentucky",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/1853103.png?width=160","False"
"Austin Hooper","TE",,"7","Tennessee Titans","6-4","254lbs","27","Stanford",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2067004.png?width=160","False"
"Kylen Granson","TE",,"2","Indianapolis Colts","6-3","242lbs","24","SMU",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2247146.png?width=160","False"
"Darren Waller","TE",,"6","Las Vegas Raiders","6-6","238lbs","29","Georgia Tech",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/1850793.png?width=160","False"
"Pat Freiermuth","TE",,"2","Pittsburgh Steelers","6-5","258lbs","23","Penn St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2961270.png?width=160","False"
"Tyler Conklin","TE",,"5","New York Jets","6-3","248lbs","27","C. Michigan",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2165249.png?width=160","False"
"Jonnu Smith","TE",,"6","New England Patriots","6-3","248lbs","27","Florida International",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2081506.png?width=160","False"
"Harrison Bryant","TE",,"3","Cleveland Browns","6-5","230lbs","24","FAU",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2241240.png?width=160","False"
"Zach Ertz","TE",,"10","Arizona Cardinals","6-5","250lbs","31","Stanford",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/1685963.png?width=160","False"
"Dalton Schultz","TE",,"5","Dallas Cowboys","6-5","255lbs","26","Stanford",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2136748.png?width=160","False"
"Cade Otton","TE",,"","Tampa Bay Buccaneers","6-5","247lbs","23","Washington",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2815179.png?width=160","False"
"Travis Kelce","TE",,"10","Kansas City Chiefs","6-5","250lbs","32","Cincinnati",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/1725130.png?width=160","False"
"Cameron Brate","TE",,"8","Tampa Bay Buccaneers","6-5","245lbs","31","Harvard",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2132787.png?width=160","False"
"Evan Engram","TE",,"6","Jacksonville Jaguars","6-3","240lbs","28","Ole Miss",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2079887.png?width=160","False"
"Robert Tonyan","TE",,"5","Green Bay Packers","6-5","240lbs","28","Indiana St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2820026.png?width=160","False"
"Tj Hockenson","TE",,"4","Detroit Lions","6-5","244lbs","25","Iowa",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2251097.png?width=160","False"
"David Njoku","TE",,"6","Cleveland Browns","6-4","246lbs","26","Miami (Fla.)",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2136474.png?width=160","False"
